course_id,title,units,description,prerequisites,course_level,major
MST 020A,Early Medieval Culture,4,"Learning Activities: Lecture 3 hour(s), Extensive Writing/Discussion.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); World Cultures (WC).

MST 020A — Intro to Late Antique & Early Medieval Worlds (4 units)
Course Description:  Late antique and early medieval worlds. Social and political structure, prominent philosophies, and literature of societies from the Middle East, Europe, East Asia, South Asia, Africa, and the Americas.

Learning Activities:  Lecture 3 hour(s), Extensive Writing/Discussion.

Grade Mode:  Letter.

General Education:  Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).
This course version is effective from, and including:  Spring Quarter 2025.",N/A,Lower Division,MST
MST 020B,The Culture of the High Middle Ages,4,"Learning Activities: Lecture 3 hour(s), Extensive Writing/Discussion.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).

MST 020B — Intro to Late Medieval & Early Modern Worlds (4 units)
Course Description:  Late medieval and early modern worlds. Global perspectives that explore human experience in dynamic interconnections with cultures in Asia, the Americas, Africa, and Europe, and the Middle East.

Learning Activities:  Lecture 3 hour(s), Extensive Writing/Discussion.

Grade Mode:  Letter.

General Education:  Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).
This course version is effective from, and including:  Spring Quarter 2025.",N/A,Lower Division,MST
MST 098,Directed Group Study,1-5,"Learning Activities: Variable.
Grade Mode: Pass/No Pass only.",N/A,Lower Division,MST
MST 098F,Student Facilitated Course,1-4,"Learning Activities: Variable 1-4 hour(s).
Grade Mode: Pass/No Pass only.",Consent of instructor.,Lower Division,MST
MST 099,Special Study for Undergraduates,1-5,"Learning Activities: Variable.
Grade Mode: Pass/No Pass only.",N/A,Lower Division,MST
MST 130A,Special Themes in Medieval Cultures,4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).",N/A,Upper Division,MST
MST 130B,Special Themes in Renaissance Culture,4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).",N/A,Upper Division,MST
MST 131,Cross-Cultural Relations in the Medieval and/or Early Modern World,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.
General Education: World Cultures (WC); Writing Experience (WE).",MST 020A or MST 020B; or consent of instructor.,Upper Division,MST
MST 189,Seminar in Medieval & Early Modern Culture,4,"Learning Activities: Seminar 3 hour(s), Term Paper.
Grade Mode: Letter.
General Education: Writing Experience (WE).",MST 020A or MST 020B; or consent of instructor.,Upper Division,MST
MST 190,Senior Thesis,4,"Learning Activities: Seminar 4 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Letter.",Senior standing and major in Medieval  Early Modern Studies.,Upper Division,MST
MST 197T,Tutoring in Medieval Studies,1-5,"Learning Activities: Seminar 2 hour(s).
Repeat Credit: May be repeated 6 unit(s).
Grade Mode: Pass/No Pass only.",MST 020A; MST 020B; upper division standing; consent of instructor and chairperson of curriculum committee.,Upper Division,MST
MST 198,Directed Group Study,1-5,"Learning Activities: Variable.
Grade Mode: Pass/No Pass only.",N/A,Upper Division,MST
MST 198F,Student Facilitated Course,1-4,"Learning Activities: Variable 1-4 hour(s).
Grade Mode: Pass/No Pass only.",Consent of instructor.,Upper Division,MST
MST 199,Special Study for Advanced Undergraduates,1-5,"Learning Activities: Variable.
Grade Mode: Pass/No Pass only.",N/A,Upper Division,MST
MST 199FA,Student Facilitated Course Development,1-4,"Learning Activities: Variable 1-4 hour(s).
Grade Mode: Pass/No Pass only.",Consent of instructor.,Upper Division,MST
MST 199FB,Student Facilitated Teaching,1-4,"Learning Activities: Variable 1-4 hour(s).
Grade Mode: Pass/No Pass only.",Consent of instructor.,Upper Division,MST
MST 396,Teaching Assistant Training Practicum,1-4,"Learning Activities: Variable 3 hour(s).
Enrollment Restriction(s): Graduate standing.
Repeat Credit: May be repeated 3 time(s).
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor.,Graduate Level,MST
GLO 098,Directed Group Study,1-5,"Learning Activities: Variable 1-5 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Pass/Not Passed only.",N/A,Lower Division,GLO
GLO 099,Special Study for Undergraduates,1-5,"Learning Activities: Variable 1-5 hour(s).
Repeat Credit: May be repeated for credit.
Grade Mode: Passed/Not Passed only.",N/A,Lower Division,GLO
GLO 198,Directed Group Study,1-5,"Learning Activities: Variable 1-5 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Passed/Not Passed only.",N/A,Upper Division,GLO
GLO 199,Special Study for Undergraduates,1-5,"Learning Activities: Variable 1-5 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Passed/Not Passed only.",N/A,Upper Division,GLO
DRA 001,"Theatre, Performance & Culture",4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Enrollment Restriction(s): Not open to students who have completed DRA 001S.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Visual Literacy (VL); Writing Experience (WE).",N/A,Lower Division,DRA
DRA 001S,"Theatre, Performance & Culture",4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Enrollment Restriction(s): Not open to students who have completed DRA 001.
Grade Mode: Letter.

DRA 001S — Theatre, Performance & Culture (4 units)
Course Description:  Introductory investigation of the nature of performance, moving from performance theory to consideration of various manifestations of performance including theatre, film and media, performance art, dance, sports, rituals, political and religious events, and other ""occasions.""

Learning Activities:  Lecture 3 hour(s), Discussion 1 hour(s).

Enrollment Restriction(s):  Not open to students who have completed DRA 001.

Grade Mode:  Letter.
This course version is effective from, and including:  Fall Quarter 2024.",N/A,Lower Division,DRA
DRA 002,Acting: The Basics: History & Practice,4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL); Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 005,"Understanding Performance: Appreciation of Modern Theatre, Dance, Film & Performance Art",4,"Learning Activities: Lecture/Discussion 3 hour(s), Discussion/Laboratory 1 hour(s).
Cross Listing: SAS 041.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Oral Skills (OL); Visual Literacy (VL); World Cultures (WC); Writing Experience (WE).",N/A,Lower Division,DRA
DRA 010,Introduction to Performance & Digital Media,4,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s) when instructor differs.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL).",N/A,Lower Division,DRA
DRA 014,Introduction to Contemporary Dance,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 020,Introduction to Dramatic Art,4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC); Writing Experience (WE).",N/A,Lower Division,DRA
DRA 021A,Fundamentals of Acting,4,"Learning Activities: Lecture 2 hour(s), Laboratory 4 hour(s).
Enrollment Restriction(s): Open to Theatre & Dance majors only; all other students may enroll in DRA 010.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).

DRA 021A — Fundamentals of Acting (4 units)
Course Description:  Physical and psychological resources of the actor. Experience in individual and group contact and communication, theatre games, advanced improvisation, sound and movement dynamics. Viewing of theatre productions.

Prerequisite(s):  Consent of instructor.

Learning Activities:  Lecture 2 hour(s), Laboratory 4 hour(s).

Enrollment Restriction(s):  Open to Theater & Dance majors only; all other students may enroll in DRA 010; attendance on first day of class is mandatory.

Grade Mode:  Letter.

General Education:  Oral Skills (OL); Visual Literacy (VL).
This course version is effective from, and including:  Summer Session 1 2025.",Consent of instructor.,Lower Division,DRA
DRA 024,Visual Aspects of Dramatic Art,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 028,Entertainment Engineering & Management: Stagecraft to Stage Management,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH).",N/A,Lower Division,DRA
DRA 030,Theatre Laboratory,1-5,"Learning Activities: Project 2 hour(s).
Repeat Credit: May be repeated 11 unit(s).
Grade Mode: Letter.",Consent of instructor.,Lower Division,DRA
DRA 040A,Beginning Modern Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 2 time(s) if a non-Dance major; a Dance major may apply to the dance faculty advisor for permission to repeat more times as dance is a repetitive practice that involves constant reiteration and demands this for improvement and better understanding of the somatic and proprioceptive skills.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 040B,Intermediate Modern Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s) if a Dance major; further repeats negotiated with the Dance faculty advisor.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",DRA 040A; or consent of instructor.,Lower Division,DRA
DRA 041A,Beginning Jazz Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s).
Grade Mode: Letter.",N/A,Lower Division,DRA
DRA 041B,Intermediate Jazz Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s) with consent of instructor.
Grade Mode: Letter.",DRA 041A; or consent of instructor.,Lower Division,DRA
DRA 042A,Beginning Ballet,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated with consent of instructor.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 042B,Intermediate Ballet,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated with consent of instructor.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",DRA 042A; or consent of instructor.,Lower Division,DRA
DRA 043A,Contact Improvisation Dance,2,"Learning Activities: Lecture/Lab 4 hour(s).
Repeat Credit: May be repeated 2 time(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",N/A,Lower Division,DRA
DRA 043B,Intermediate Contact Improvisation,2,"Learning Activities: Lecture/Lab 4 hour(s).
Repeat Credit: May be repeated 2 time(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",DRA 043A; or consent of instructor.,Lower Division,DRA
DRA 044A,Beginning Hip Hop Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s).
Grade Mode: Letter.",N/A,Lower Division,DRA
DRA 044B,Intermediate Hip Hop Dance,2,"Learning Activities: Discussion/Laboratory 4 hour(s).
Repeat Credit: May be repeated 1 time(s).
Grade Mode: Letter.",DRA 044A; or consent of instructor.,Lower Division,DRA
DRA 055,"Contemporary Local, National & Global Theatre, Dance & Performance",4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Visual Literacy (VL); World Cultures (WC).",N/A,Lower Division,DRA
DRA 056A,"History of Theatre & Dance I: Myth, Magic & Madness",4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC).",N/A,Lower Division,DRA
DRA 056B,"History of Theatre & Dance II: Romance, Revenge & Rebellion",4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC).",N/A,Lower Division,DRA
DRA 056C,"History of Theatre & Dance III: Sex, Society & the State",4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC).",N/A,Lower Division,DRA
DRA 092,Internship in Dramatic Art,1-12,"Learning Activities: Variable 1-12 hour(s).
Enrollment Restriction(s): Restricted to lower division students with less than 84 units completed.
Repeat Credit: May be repeated 12 unit(s).
Grade Mode: Pass/No Pass only.",Consent of instructor and department chairperson.,Lower Division,DRA
DRA 098,Directed Group Study,1-5,"Learning Activities: .
Grade Mode: Pass/No Pass only.",N/A,Lower Division,DRA
DRA 099,Special Study for Undergraduates,1-5,"Learning Activities: Variable.
Grade Mode: Pass/No Pass only.",N/A,Lower Division,DRA
DRA 111,"Presentation, Communication & Collaboration",4,"Learning Activities: Lecture/Lab 4 hour(s).
Enrollment Restriction(s): Limited to 20 students.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL).",Consent of instructor.,Upper Division,DRA
DRA 111S,Representation & Identity in Culture & Cinema,4,"Learning Activities: Lecture/Discussion 2 hour(s), Film Viewing 4 hour(s).
Grade Mode: Letter.

DRA 111S — Representation & Identity in Culture & Cinema (4 units)
Course Description:  Issues of personal and collective identity via study of film narratives from different cultures. Reflection of dominant cultural identities in film.

Learning Activities:  Lecture/Discussion 2 hour(s), Film Viewing 4 hour(s).

Grade Mode:  Letter.
This course version is effective from, and including:  Fall Quarter 2024.",N/A,Upper Division,DRA
DRA 114,Theatre on Film,4,"Learning Activities: Lecture/Discussion 3 hour(s), Film Viewing 2 hour(s), Term Paper.
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Social Sciences (SS); Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 115,Advanced Study of Major Film Makers,4,"Learning Activities: Lecture/Discussion 3 hour(s), Film Viewing 2 hour(s).
Repeat Credit: May be repeated when different film creator studied, or studied with a different methodological approach.
Grade Mode: Letter.
General Education: Visual Literacy (VL).",N/A,Upper Division,DRA
DRA 116,Design on Screen,4,"Learning Activities: Lecture/Discussion 3 hour(s), Film Viewing 3 hour(s).
Repeat Credit: May be repeated 2 time(s) when topic differs.
Cross Listing: CTS 116.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",N/A,Upper Division,DRA
DRA 120,Intermediate Acting/Gateway: The Actor's Toolkit,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).",DRA 021A; or consent of instructor.,Upper Division,DRA
DRA 121A,Advanced Acting: Scene Study & Script Analysis,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Repeat Credit: May be repeated 8 unit(s) (twice) as acting requires repetition to habituate the body and imagination to new practices; new scripts and scenes must be undertaken in the repetition.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 121B,Advanced Acting: Rehearsal Processes & Practices,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Repeat Credit: May be repeated 8 unit(s) (twice) as student is exposed to different professional practitioners’ working processes; new etudes, scripts and scenes must be undertaken in the repetition.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 121C,Advanced Acting: Character & Style,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Repeat Credit: May be repeated 8 unit(s) (twice) as acting requires repetition to habituate the body and imagination to new practices; new scripts and scenes must be undertaken in the repetition.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 122A,Advanced Acting: Devising & Collaboration,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Repeat Credit: May be repeated 8 unit(s) (twice) as acting requires repetition to habituate the body and imagination to new practices; new scripts and scenes must be undertaken in the repetition.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).

DRA 122A — Advanced Acting: Devising & Collaboration (4 units)
Course Description:  Study and practice of various devising techniques, to collaborate on and produce a series of short etudes and dramatic scenes/short plays.

Prerequisite(s): DRA 135 C or better or DRA 120 C or better; consent of instructor.

Learning Activities:  Lecture/Lab 6 hour(s).

Enrollment Restriction(s):  Limited enrollment.

Repeat Credit:  May be repeated 8 unit(s) (twice) as acting requires repetition to habituate the body and imagination to new practices; new scripts and scenes must be undertaken in the repetition.

Grade Mode:  Letter.

General Education:  Oral Skills (OL); Visual Literacy (VL).
This course version is effective from, and including:  Summer Session 1 2025.",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 122B,Advanced Acting: Shakespeare & His Contemporaries,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Limited enrollment.
Repeat Credit: May be repeated 8 unit(s) (twice) as acting requires repetition to habituate the body and imagination to new practices; new monologues and scenes must be undertaken in the repetition.
Grade Mode: Letter.
General Education: Oral Skills (OL); Visual Literacy (VL).",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 122C,Advanced Acting: Special Topics in Acting,4,"Learning Activities: Lecture/Lab 6 hour(s).
Enrollment Restriction(s): Restricted to Theatre & Dance majors; limited enrollment.
Repeat Credit: May be repeated 8 unit(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL); Visual Literacy (VL).",DRA 120; and consent of instructor.,Upper Division,DRA
DRA 124A,Principles of Theatrical Design: Scenery,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Enrollment Restriction(s): Upper division standing; Pass One restricted to Theatre & Dance majors.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 124B,Principles of Theatrical Design: Scenery,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Enrollment Restriction(s): Upper division standing; Pass One restricted to Theatre & Dance majors.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
